CodMun;Regiao;UF;Cod UF;Mun;Populacao;Faixa_pop
1505809;1 - Norte;PA;15;Portel;62945;5 - 50001 até 100000
1505908;1 - Norte;PA;15;Porto de Moz;41801;4 - 20001 até 50000
1506005;1 - Norte;PA;15;Prainha;29846;4 - 20001 até 50000
1506104;1 - Norte;PA;15;Primavera;10857;3 - 10001 até 20000
1506112;1 - Norte;PA;15;Quatipuru;13702;3 - 10001 até 20000
1506138;1 - Norte;PA;15;Redenção;85563;5 - 50001 até 100000
1506161;1 - Norte;PA;15;Rio Maria;18201;3 - 10001 até 20000
1506187;1 - Norte;PA;15;Rondon do Pará;52803;5 - 50001 até 100000
1506195;1 - Norte;PA;15;Rurópolis;51500;5 - 50001 até 100000
1506203;1 - Norte;PA;15;Salinópolis;40922;4 - 20001 até 50000
1506302;1 - Norte;PA;15;Salvaterra;24075;4 - 20001 até 50000
1506351;1 - Norte;PA;15;Santa Bárbara do Pará;21449;4 - 20001 até 50000
1506401;1 - Norte;PA;15;Santa Cruz do Arari;10314;3 - 10001 até 20000
1506500;1 - Norte;PA;15;Santa Izabel do Pará;71837;5 - 50001 até 100000
1506559;1 - Norte;PA;15;Santa Luzia do Pará;19843;3 - 10001 até 20000
1506583;1 - Norte;PA;15;Santa Maria das Barreiras;21850;4 - 20001 até 50000
1506609;1 - Norte;PA;15;Santa Maria do Pará;24995;4 - 20001 até 50000
1506708;1 - Norte;PA;15;Santana do Araguaia;74419;5 - 50001 até 100000
1506807;1 - Norte;PA;15;Santarém;306480;6 - 100001 até 500000
1506906;1 - Norte;PA;15;Santarém Novo;6753;2 - 5001 até 10000
1507003;1 - Norte;PA;15;Santo Antônio do Tauá;31918;4 - 20001 até 50000
1507102;1 - Norte;PA;15;São Caetano de Odivelas;18129;3 - 10001 até 20000
1507151;1 - Norte;PA;15;São Domingos do Araguaia;25753;4 - 20001 até 50000
1507201;1 - Norte;PA;15;São Domingos do Capim;32139;4 - 20001 até 50000
1507300;1 - Norte;PA;15;São Félix do Xingu;132138;6 - 100001 até 500000
1507409;1 - Norte;PA;15;São Francisco do Pará;15930;3 - 10001 até 20000
1507458;1 - Norte;PA;15;São Geraldo do Araguaia;24705;4 - 20001 até 50000
1507466;1 - Norte;PA;15;São João da Ponta;6217;2 - 5001 até 10000
1507474;1 - Norte;PA;15;São João de Pirabas;23244;4 - 20001 até 50000
1507508;1 - Norte;PA;15;São João do Araguaia;14051;3 - 10001 até 20000
1507607;1 - Norte;PA;15;São Miguel do Guamá;59632;5 - 50001 até 100000
1507706;1 - Norte;PA;15;São Sebastião da Boa Vista;26974;4 - 20001 até 50000
1507755;1 - Norte;PA;15;Sapucaia;6009;2 - 5001 até 10000
1507805;1 - Norte;PA;15;Senador José Porfírio;11480;3 - 10001 até 20000
1507904;1 - Norte;PA;15;Soure;25565;4 - 20001 até 50000
1507953;1 - Norte;PA;15;Tailândia;108969;6 - 100001 até 500000
1507961;1 - Norte;PA;15;Terra Alta;11847;3 - 10001 até 20000
1507979;1 - Norte;PA;15;Terra Santa;18917;3 - 10001 até 20000
1508001;1 - Norte;PA;15;Tomé-Açu;64030;5 - 50001 até 100000
1508035;1 - Norte;PA;15;Tracuateua;31257;4 - 20001 até 50000
1508050;1 - Norte;PA;15;Trairão;19168;3 - 10001 até 20000
1508084;1 - Norte;PA;15;Tucumã;40136;4 - 20001 até 50000
1508100;1 - Norte;PA;15;Tucuruí;115144;6 - 100001 até 500000
1508126;1 - Norte;PA;15;Ulianópolis;60761;5 - 50001 até 100000
1508159;1 - Norte;PA;15;Uruará;45435;4 - 20001 até 50000
1508209;1 - Norte;PA;15;Vigia;54172;5 - 50001 até 100000
1508308;1 - Norte;PA;15;Viseu;61751;5 - 50001 até 100000
1508357;1 - Norte;PA;15;Vitória do Xingu;15279;3 - 10001 até 20000
1508407;1 - Norte;PA;15;Xinguara;45086;4 - 20001 até 50000
1600055;1 - Norte;AP;16;Serra do Navio;5488;2 - 5001 até 10000
1600105;1 - Norte;AP;16;Amapá;9187;2 - 5001 até 10000
1600154;1 - Norte;AP;16;Pedra Branca do Amapari;17067;3 - 10001 até 20000
1600204;1 - Norte;AP;16;Calçoene;11306;3 - 10001 até 20000
1600212;1 - Norte;AP;16;Cutias;6101;2 - 5001 até 10000
1600238;1 - Norte;AP;16;Ferreira Gomes;7967;2 - 5001 até 10000
1600253;1 - Norte;AP;16;Itaubal;5617;2 - 5001 até 10000
1600279;1 - Norte;AP;16;Laranjal do Jari;51362;5 - 50001 até 100000
1600303;1 - Norte;AP;16;Macapá;512902;7 - Maior que 500000
1600402;1 - Norte;AP;16;Mazagão;22053;4 - 20001 até 50000
1600501;1 - Norte;AP;16;Oiapoque;27906;4 - 20001 até 50000
1600535;1 - Norte;AP;16;Porto Grande;22452;4 - 20001 até 50000
1600550;1 - Norte;AP;16;Pracuúba;5246;2 - 5001 até 10000
1600600;1 - Norte;AP;16;Santana;123096;6 - 100001 até 500000
1600709;1 - Norte;AP;16;Tartarugalzinho;17769;3 - 10001 até 20000
1600808;1 - Norte;AP;16;Vitória do Jari;16254;3 - 10001 até 20000
1700251;1 - Norte;TO;17;Abreulândia;2594;1 - Até 5000
1700301;1 - Norte;TO;17;Aguiarnópolis;6892;2 - 5001 até 10000
1700350;1 - Norte;TO;17;Aliança do Tocantins;5346;2 - 5001 até 10000
1700400;1 - Norte;TO;17;Almas;6979;2 - 5001 até 10000
1700707;1 - Norte;TO;17;Alvorada;8396;2 - 5001 até 10000
1701002;1 - Norte;TO;17;Ananás;9492;2 - 5001 até 10000
1701051;1 - Norte;TO;17;Angico;3454;1 - Até 5000
1701101;1 - Norte;TO;17;Aparecida do Rio Negro;4848;1 - Até 5000
1701309;1 - Norte;TO;17;Aragominas;5731;2 - 5001 até 10000
1701903;1 - Norte;TO;17;Araguacema;7155;2 - 5001 até 10000
1702000;1 - Norte;TO;17;Araguaçu;8467;2 - 5001 até 10000
1702109;1 - Norte;TO;17;Araguaína;183381;6 - 100001 até 500000
1702158;1 - Norte;TO;17;Araguanã;5793;2 - 5001 até 10000
1702208;1 - Norte;TO;17;Araguatins;36170;4 - 20001 até 50000
1702307;1 - Norte;TO;17;Arapoema;6616;2 - 5001 até 10000
1702406;1 - Norte;TO;17;Arraias;10534;3 - 10001 até 20000
1702554;1 - Norte;TO;17;Augustinópolis;18643;3 - 10001 até 20000
1702703;1 - Norte;TO;17;Aurora do Tocantins;3783;1 - Até 5000
1702901;1 - Norte;TO;17;Axixá do Tocantins;9787;2 - 5001 até 10000
1703008;1 - Norte;TO;17;Babaçulândia;10666;3 - 10001 até 20000
1703057;1 - Norte;TO;17;Bandeirantes do Tocantins;3592;1 - Até 5000
1703073;1 - Norte;TO;17;Barra do Ouro;4632;1 - Até 5000
1703107;1 - Norte;TO;17;Barrolândia;5651;2 - 5001 até 10000
1703206;1 - Norte;TO;17;Bernardo Sayão;4448;1 - Até 5000
1703305;1 - Norte;TO;17;Bom Jesus do Tocantins;5008;2 - 5001 até 10000
1703602;1 - Norte;TO;17;Brasilândia do Tocantins;2211;1 - Até 5000
1703701;1 - Norte;TO;17;Brejinho de Nazaré;5519;2 - 5001 até 10000
1703800;1 - Norte;TO;17;Buriti do Tocantins;11497;3 - 10001 até 20000
1703826;1 - Norte;TO;17;Cachoeirinha;2284;1 - Até 5000
1703842;1 - Norte;TO;17;Campos Lindos;10312;3 - 10001 até 20000
1703867;1 - Norte;TO;17;Cariri do Tocantins;4441;1 - Até 5000
1703883;1 - Norte;TO;17;Carmolândia;2603;1 - Até 5000
1703891;1 - Norte;TO;17;Carrasco Bonito;4130;1 - Até 5000
1703909;1 - Norte;TO;17;Caseara;5442;2 - 5001 até 10000
1704105;1 - Norte;TO;17;Centenário;2936;1 - Até 5000
1704600;1 - Norte;TO;17;Chapada de Areia;1410;1 - Até 5000
