CodMun;REGIAO;COD UF;UF;NOME MUNIC;POP EST;CLASSE POP
1507300;1 - Norte;15;PA;São Félix do Xingu;111633;6 - 100001 até 500000
1507409;1 - Norte;15;PA;São Francisco do Pará;15341;3 - 10001 até 20000
1507458;1 - Norte;15;PA;São Geraldo do Araguaia;24828;4 - 20001 até 50000
1507466;1 - Norte;15;PA;São João da Ponta;5703;2 - 5001 até 10000
1507474;1 - Norte;15;PA;São João de Pirabas;21767;4 - 20001 até 50000
1507508;1 - Norte;15;PA;São João do Araguaia;13470;3 - 10001 até 20000
1507607;1 - Norte;15;PA;São Miguel do Guamá;55191;5 - 50001 até 100000
1507706;1 - Norte;15;PA;São Sebastião da Boa Vista;24768;4 - 20001 até 50000
1507755;1 - Norte;15;PA;Sapucaia;5492;2 - 5001 até 10000
1507805;1 - Norte;15;PA;Senador José Porfírio;12075;3 - 10001 até 20000
1507904;1 - Norte;15;PA;Soure;24076;4 - 20001 até 50000
1507953;1 - Norte;15;PA;Tailândia;93906;5 - 50001 até 100000
1507961;1 - Norte;15;PA;Terra Alta;10973;3 - 10001 até 20000
1507979;1 - Norte;15;PA;Terra Santa;17783;3 - 10001 até 20000
1508001;1 - Norte;15;PA;Tomé-Açu;59795;5 - 50001 até 100000
1508035;1 - Norte;15;PA;Tracuateua;29125;4 - 20001 até 50000
1508050;1 - Norte;15;PA;Trairão;17880;3 - 10001 até 20000
1508084;1 - Norte;15;PA;Tucumã;36674;4 - 20001 até 50000
1508100;1 - Norte;15;PA;Tucuruí;105431;6 - 100001 até 500000
1508126;1 - Norte;15;PA;Ulianópolis;51956;5 - 50001 até 100000
1508159;1 - Norte;15;PA;Uruará;44607;4 - 20001 até 50000
1508209;1 - Norte;15;PA;Vigia;50622;5 - 50001 até 100000
1508308;1 - Norte;15;PA;Viseu;58694;5 - 50001 até 100000
1508357;1 - Norte;15;PA;Vitória do Xingu;14242;3 - 10001 até 20000
1508407;1 - Norte;15;PA;Xinguara;42465;4 - 20001 até 50000
1600055;1 - Norte;16;AP;Serra do Navio;4850;1 - Até 5000
1600105;1 - Norte;16;AP;Amapá;8553;2 - 5001 até 10000
1600154;1 - Norte;16;AP;Pedra Branca do Amapari;13411;3 - 10001 até 20000
1600204;1 - Norte;16;AP;Calçoene;9979;2 - 5001 até 10000
1600212;1 - Norte;16;AP;Cutias;5291;2 - 5001 até 10000
1600238;1 - Norte;16;AP;Ferreira Gomes;6714;2 - 5001 até 10000
1600253;1 - Norte;16;AP;Itaubal;4836;1 - Até 5000
1600279;1 - Norte;16;AP;Laranjal do Jari;44777;4 - 20001 até 50000
1600303;1 - Norte;16;AP;Macapá;446757;6 - 100001 até 500000
1600402;1 - Norte;16;AP;Mazagão;19157;3 - 10001 até 20000
1600501;1 - Norte;16;AP;Oiapoque;23628;4 - 20001 até 50000
1600535;1 - Norte;16;AP;Porto Grande;19191;3 - 10001 até 20000
1600550;1 - Norte;16;AP;Pracuúba;4404;1 - Até 5000
1600600;1 - Norte;16;AP;Santana;110565;6 - 100001 até 500000
1600709;1 - Norte;16;AP;Tartarugalzinho;14754;3 - 10001 até 20000
1600808;1 - Norte;16;AP;Vitória do Jari;14045;3 - 10001 até 20000
1700251;1 - Norte;17;TO;Abreulândia;2523;1 - Até 5000
1700301;1 - Norte;17;TO;Aguiarnópolis;5987;2 - 5001 até 10000
1700350;1 - Norte;17;TO;Aliança do Tocantins;5645;2 - 5001 até 10000
1700400;1 - Norte;17;TO;Almas;7480;2 - 5001 até 10000
1700707;1 - Norte;17;TO;Alvorada;8546;2 - 5001 até 10000
1701002;1 - Norte;17;TO;Ananás;9900;2 - 5001 até 10000
1701051;1 - Norte;17;TO;Angico;3355;1 - Até 5000
1701101;1 - Norte;17;TO;Aparecida do Rio Negro;4561;1 - Até 5000
1701309;1 - Norte;17;TO;Aragominas;5933;2 - 5001 até 10000
1701903;1 - Norte;17;TO;Araguacema;6791;2 - 5001 até 10000
1702000;1 - Norte;17;TO;Araguaçu;8822;2 - 5001 até 10000
1702109;1 - Norte;17;TO;Araguaína;167176;6 - 100001 até 500000
1702158;1 - Norte;17;TO;Araguanã;5448;2 - 5001 até 10000
1702208;1 - Norte;17;TO;Araguatins;33963;4 - 20001 até 50000
1702307;1 - Norte;17;TO;Arapoema;6821;2 - 5001 até 10000
1702406;1 - Norte;17;TO;Arraias;10805;3 - 10001 até 20000
1702554;1 - Norte;17;TO;Augustinópolis;17386;3 - 10001 até 20000
1702703;1 - Norte;17;TO;Aurora do Tocantins;3654;1 - Até 5000
1702901;1 - Norte;17;TO;Axixá do Tocantins;9669;2 - 5001 até 10000
1703008;1 - Norte;17;TO;Babaçulândia;10728;3 - 10001 até 20000
1703057;1 - Norte;17;TO;Bandeirantes do Tocantins;3379;1 - Até 5000
1703073;1 - Norte;17;TO;Barra do Ouro;4416;1 - Até 5000
1703107;1 - Norte;17;TO;Barrolândia;5579;2 - 5001 até 10000
1703206;1 - Norte;17;TO;Bernardo Sayão;4540;1 - Até 5000
1703305;1 - Norte;17;TO;Bom Jesus do Tocantins;4361;1 - Até 5000
1703602;1 - Norte;17;TO;Brasilândia do Tocantins;2166;1 - Até 5000
1703701;1 - Norte;17;TO;Brejinho de Nazaré;5426;2 - 5001 até 10000
1703800;1 - Norte;17;TO;Buriti do Tocantins;10681;3 - 10001 até 20000
1703826;1 - Norte;17;TO;Cachoeirinha;2246;1 - Até 5000
1703842;1 - Norte;17;TO;Campos Lindos;9207;2 - 5001 até 10000
1703867;1 - Norte;17;TO;Cariri do Tocantins;4116;1 - Até 5000
1703883;1 - Norte;17;TO;Carmolândia;2482;1 - Até 5000
1703891;1 - Norte;17;TO;Carrasco Bonito;3945;1 - Até 5000
