Ano;UF;CODMUN;MUNICIPIO;CODMUN_IBGE
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;1858;SALVADOR;2927408
202012;BA;37509;SANTA BARBARA;2927507
202012;BA;19699;SANTA CRUZ CABRALIA;2927705
202012;BA;24086;SANTA MARIA DA VITORIA;2928109
202012;BA;5469;SANTA RITA DE CASSIA;2928406
202012;BA;33084;SANTALUZ;2928000
202012;BA;19723;SANTANA;2928208
202012;BA;28666;SANTO AMARO;2928604
202012;BA;24165;SANTO ANTONIO DE JESUS;2928703
202012;BA;10911;SANTO ESTEVAO;2928802
202012;BA;2039;SAO DESIDERIO;2928901
202012;BA;33118;SAO FELIPE;2929107
202012;BA;28635;SAO FELIX;2929008
202012;BA;15363;SAO FRANCISCO DO CONDE;2929206
202012;BA;15363;SAO FRANCISCO DO CONDE;2929206
202012;BA;19709;SAPEACU;2929602
202012;BA;2046;SAUDE;2929800
202012;BA;38371;SEABRA;2929909
202012;BA;16111;SENHOR DO BONFIM;2930105
202012;BA;5799;SENTO SE;2930204
202012;BA;46301;SERRA DO RAMALHO;2930154
202012;BA;2637;SERRA DOURADA;2930303
202012;BA;20516;SERRINHA;2930501
202012;BA;5995;SIMOES FILHO;2930709
202012;BA;5995;SIMOES FILHO;2930709
202012;BA;15291;TANHACU;2931004
202012;BA;37626;TAPEROA;2931202
202012;BA;42659;TEIXEIRA DE FREITAS;2931350
202012;BA;42659;TEIXEIRA DE FREITAS;2931350
202012;BA;23032;TUCANO;2931905
202012;BA;5452;UAUA;2932002
202012;BA;38072;UBAIRA;2932101
202012;BA;29012;UBAITABA;2932200
202012;BA;24639;UBATA;2932309
202012;BA;3461;UNA;2932507
202012;BA;35783;URANDI;2932606
202012;BA;18243;UTINGA;2932804
